,time_stamp,hash,time
288,1.46733E+12,33249530.72,2016-07-01T00:00:00Z
289,1.46742E+12,33750793.99,2016-07-02T00:00:00Z
290,1.4675E+12,36475682.95,2016-07-03T00:00:00Z
291,1.46759E+12,39801561.8,2016-07-04T00:00:00Z
292,1.46768E+12,39069905.67,2016-07-05T00:00:00Z
293,1.46776E+12,39875044.58,2016-07-06T00:00:00Z
294,1.46785E+12,42097043.13,2016-07-07T00:00:00Z
295,1.46794E+12,44727725.7,2016-07-08T00:00:00Z
296,1.46802E+12,44075217.98,2016-07-09T00:00:00Z
297,1.46811E+12,44140073.43,2016-07-10T00:00:00Z
298,1.4682E+12,45406883.81,2016-07-11T00:00:00Z
299,1.46828E+12,47899858.78,2016-07-12T00:00:00Z
300,1.46837E+12,45235119.07,2016-07-13T00:00:00Z
301,1.46845E+12,45834533.05,2016-07-14T00:00:00Z
302,1.46854E+12,49611718.76,2016-07-15T00:00:00Z
303,1.46863E+12,48111716.86,2016-07-16T00:00:00Z
304,1.46871E+12,45027575.9,2016-07-17T00:00:00Z
305,1.4688E+12,49216590.78,2016-07-18T00:00:00Z
306,1.46889E+12,50114346.3,2016-07-19T00:00:00Z
307,1.46897E+12,48480326.13,2016-07-20T00:00:00Z
308,1.46906E+12,49448656.68,2016-07-21T00:00:00Z
309,1.46915E+12,47289986.5,2016-07-22T00:00:00Z
310,1.46923E+12,42301109.29,2016-07-23T00:00:00Z
311,1.46932E+12,43690076.71,2016-07-24T00:00:00Z
312,1.4694E+12,42633506.44,2016-07-25T00:00:00Z
313,1.46949E+12,39961015.34,2016-07-26T00:00:00Z
314,1.46958E+12,41103801.55,2016-07-27T00:00:00Z
315,1.46966E+12,41358659.95,2016-07-28T00:00:00Z
316,1.46975E+12,42980965.16,2016-07-29T00:00:00Z
317,1.46984E+12,43485516.02,2016-07-30T00:00:00Z
318,1.46992E+12,41752189.79,2016-07-31T00:00:00Z
319,1.47001E+12,43914532.35,2016-08-01T00:00:00Z
320,1.4701E+12,41272796.44,2016-08-02T00:00:00Z
321,1.47018E+12,40473896.86,2016-08-03T00:00:00Z
322,1.47027E+12,41417116.95,2016-08-04T00:00:00Z
323,1.47036E+12,42651125.26,2016-08-05T00:00:00Z
324,1.47044E+12,42886922.74,2016-08-06T00:00:00Z
325,1.47053E+12,41150142.52,2016-08-07T00:00:00Z
326,1.47061E+12,40911203.36,2016-08-08T00:00:00Z
327,1.4707E+12,38857537.12,2016-08-09T00:00:00Z
328,1.47079E+12,40277644.08,2016-08-10T00:00:00Z
329,1.47087E+12,42423854.39,2016-08-11T00:00:00Z
330,1.47096E+12,41442722.53,2016-08-12T00:00:00Z
331,1.47105E+12,40834246.91,2016-08-13T00:00:00Z
332,1.47113E+12,40719237.9,2016-08-14T00:00:00Z
333,1.47122E+12,41418263.93,2016-08-15T00:00:00Z
334,1.47131E+12,42106387.42,2016-08-16T00:00:00Z
335,1.47139E+12,41641247.56,2016-08-17T00:00:00Z
336,1.47148E+12,44068691.53,2016-08-18T00:00:00Z
337,1.47156E+12,42130496.96,2016-08-19T00:00:00Z
338,1.47165E+12,41307628.36,2016-08-20T00:00:00Z
339,1.47174E+12,39541624.61,2016-08-21T00:00:00Z
340,1.47182E+12,43120414,2016-08-22T00:00:00Z
341,1.47191E+12,45019397.46,2016-08-23T00:00:00Z
342,1.472E+12,47955300.49,2016-08-24T00:00:00Z
343,1.47208E+12,48492991.56,2016-08-25T00:00:00Z
344,1.47217E+12,46935553.44,2016-08-26T00:00:00Z
345,1.47226E+12,46622654.75,2016-08-27T00:00:00Z
346,1.47234E+12,46314933.29,2016-08-28T00:00:00Z
